text,spam
Congratulations! You have been selected for a $10000 reward. Claim now!,1
Dear student your assignment submission deadline is tomorrow.,0
Your Netflix account has been suspended. Update your payment details immediately.,1
Can we reschedule our meeting to 3 PM today?,0
Limited time offer! Buy 1 get 1 free on all products. Shop now!,1
Hey are you coming to the group study session tonight?,0
You have won a free ticket to Dubai. Click to confirm your booking.,1
Please find the attached project report for review.,0
Urgent! Your email storage is full. Upgrade your account now.,1
Let’s meet at the cafeteria after class.,0
